accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution
OK316989	OK316989.1	IMBCAMS-1156	2019-11-11	Asia	China			Homo sapiens	2022-05-21		Liu et al.	Liu,H.,Liu,J.,Su,C.,Zou,M.	Chinese Academy of Medical Sciences & Peking Union Medical College, Infection & Immunity Laboratory, Kunming, Institute of Medical Biology
OK655882	OK655882.1	CHIKV/IDN_Jambi_129/2016	2016-12-02	Asia	Indonesia	Jambi		Homo sapiens	2022-01-18		Harapan et al.	Harapan,H.,Michie,A.,Ernst,T.,Panta,K.,Mudatsir,M.,Yohan,B.,Haryanto,S.,McCarthy,S.,Sasmono,R.T.,Imrie,A.	University of Western Australia, School of Biomedical Sciences
OK655884	OK655884.1	CHIKV/IDN_Jambi_101/2016	2016-11-21	Asia	Indonesia	Jambi		Homo sapiens	2022-01-18		Harapan et al.	Harapan,H.,Michie,A.,Ernst,T.,Panta,K.,Mudatsir,M.,Yohan,B.,Haryanto,S.,McCarthy,S.,Sasmono,R.T.,Imrie,A.	University of Western Australia, School of Biomedical Sciences
OL343612	OL343612.1	Amapa_139_Brazil_2014	2014-10-24	South America	Brazil	Macapa-Ap		Homo sapiens	2022-07-24		de Oliveira Ribeiro et al.	de Oliveira Ribeiro,G.,Gill,D.E.,do Socorro Foro Ramos,E.,Villanova,F.,Soares D'Athaide Ribeiro,E.,Monteiro,F.J.C.,Morais,V.S.,Rego,M.Od.S.,Araujo,E.L.L.,Pandey,R.P.,Raj,V.S.,Deng,X.,Delwart,E.,da Costa,A.C.,Leal,E.,Ribeiro,G.,Ramos,E.,Gill,E.,da Costa,C.,Sabino,E.	Federal University of Para, Institute of Biological Sciences
OL741630	OL741630.1	109-0326_L001	2020-07-23	Asia	Cambodia			Homo sapiens	2022-02-06		Yek et al.	Yek,C.,Bohl,J.,Chea,S.,Lay,S.,Oum,M.,Manning,J.E.	National Institute of Allergy and Infectious Diseases, Laboratory of Malaria and Vector Research
OL898667	OL898667.1	CHKV_Brazil/SP/IAL/NS9096/2021	2021-02-01	South America	Brazil	São Paulo	Santos (São Paulo)	Homo sapiens	2022-03-15		Maeda et al.	Maeda,A.Y.,Nogueira,J.S.,Campos,K.R.,Camargo,C.H.,da Silva Vasami,F.G.,Arvigo,A.P.B.,Santos,M.B.N.,Abbud,A.,Sacchi,C.T.	Instituto Adolfo Lutz, Laboratorio Estrategico
OL898688	OL898688.1	CHKV_Brazil/SP/IAL/46186/2021	2021-03-23	South America	Brazil	São Paulo	Guarujá	Homo sapiens	2022-03-15		Maeda et al.	Maeda,A.Y.,Nogueira,J.S.,Campos,K.R.,Camargo,C.H.,da Silva Vasami,F.G.,Arvigo,A.P.B.,Santos,M.B.N.,Abbud,A.,Sacchi,C.T.	Instituto Adolfo Lutz, Laboratorio Estrategico
OL898693	OL898693.1	CHKV_Brazil/SP/IAL/NS8792/2021	2021-02-13	South America	Brazil	São Paulo	Guarujá	Homo sapiens	2022-03-15		Maeda et al.	Maeda,A.Y.,Nogueira,J.S.,Campos,K.R.,Camargo,C.H.,da Silva Vasami,F.G.,Arvigo,A.P.B.,Santos,M.B.N.,Abbud,A.,Sacchi,C.T.	Instituto Adolfo Lutz, Laboratorio Estrategico
OL898714	OL898714.1	CHKV_Brazil/SP/IAL/45326/2021	2020-11-20	South America	Brazil	São Paulo	Santos (São Paulo)	Homo sapiens	2022-03-15		Maeda et al.	Maeda,A.Y.,Nogueira,J.S.,Campos,K.R.,Camargo,C.H.,da Silva Vasami,F.G.,Arvigo,A.P.B.,Santos,M.B.N.,Abbud,A.,Sacchi,C.T.	Instituto Adolfo Lutz, Laboratorio Estrategico
OL999092	OL999092.1	109-0575Sera_L1	2021-02-12	Asia	Cambodia			Homo sapiens	2022-02-06		Yek et al.	Yek,C.,Bohl,J.,Lay,S.,Chea,S.,Oum,M.,Manning,J.E.	National Institute of Allergy and Infectious Diseases, Laboratory of Malaria and Vector Research
OL999094	OL999094.1	109-0608S_L1_1	2021-03-05	Asia	Cambodia			Homo sapiens	2022-02-06		Yek et al.	Yek,C.,Bohl,J.,Oum,M.,Lay,S.,Chea,S.,Manning,J.E.	National Institute of Allergy and Infectious Diseases, Laboratory of Malaria and Vector Research
OM128433	OM128433.1	MRN16/BR/RJ/2018	2018-06-06	South America	Brazil			Homo sapiens	2022-03-22		de Souza et al.	de Souza,T.M.A.,de Lima,R.C.,Solorzano,V.E.F.,Damasco,P.V.,de Souza,L.J.,Sanchez-Arcila,J.C.,Guimaraes,G.M.C.,Paiva,I.A.,da Rocha Queiroz Lima,M.,de Bruycker-Nogueira,F.,Tome,L.C.T.,Coelho,M.R.I.,da Silva,S.P.,de Oliveira-Pinto,L.M.,de Azeredo,E.L.,Dos Santos,F.B.,dos Santos,F.B.	Oswaldo Cruz Institute/FIOCRUZ, Laboratory of Viral Immunology
OM416158	OM416158.1	CHIKV-China/P2020NS1-2	2020-07-XX	Asia	China			Pholidota	2022-05-21		Xiao et al.	Xiao,P.	Wenzhou University, Institute of Virology
OM416227	OM416227.1	CHIKV/Homo_sapiens/Brazil/2017/0192	2017-02-23	South America	Brazil	Wanderlandia	Tocantins		2023-05-24		Marinho et al.	Marinho,R.,Santos,L.,Duro,R.,Hunter,J.,Teles,M.,Milagres,F.,Sabino,E.,Diaz,R.,Kawakubo,F.,Khouri,R.,Komninakis,S.,Marinho,R.S.S.,Santos,L.A.,Duro,R.L.S.,Teles,M.A.R.,Milagres,F.A.P.,Sabino,E.C.,Diaz,R.S.,Kawakubo,F.S.,Komninakis,S.V.	Federal University of Sao Paulo, Infectious Diseases
OM416273	OM416273.1	CHIKV/Homo_sapiens/Brazil/2017/0141	2017-02-21	South America	Brazil	Wanderlandia	Tocantins	Homo sapiens	2022-12-07		Marinho et al.	Marinho,R.,Santos,L.,Duro,R.,Hunter,J.,Teles,M.,Milagres,F.,Sabino,E.,Diaz,R.,Kawakubo,F.,Khouri,R.,Komninakis,S.,Marinho,R.S.S.,Santos,L.A.,Duro,R.L.S.,Teles,M.A.R.,Milagres,F.A.P.,Sabino,E.C.,Diaz,R.S.,Kawakubo,F.S.,Komninakis,S.V.	Federal University of Sao Paulo, Infectious Diseases
OM416278	OM416278.1	CHIKV/Homo_sapiens/Brazil/2017/0237	2017-02-17	South America	Brazil	Wanderlandia	Tocantins	Homo sapiens	2022-12-07		Marinho et al.	Marinho,R.,Santos,L.,Duro,R.,Hunter,J.,Teles,M.,Milagres,F.,Sabino,E.,Diaz,R.,Kawakubo,F.,Khouri,R.,Komninakis,S.,Marinho,R.S.S.,Santos,L.A.,Duro,R.L.S.,Teles,M.A.R.,Milagres,F.A.P.,Sabino,E.C.,Diaz,R.S.,Kawakubo,F.S.,Komninakis,S.V.	Federal University of Sao Paulo, Infectious Diseases
ON023503	ON023503.1	BH151	2021-01-27	South America	Brazil	Governador Valadares	Minas Gerais	Homo sapiens	2022-08-17		Fritsch et al.	Fritsch,H.,Iani,F.,Adelino,T.,Fonseca,V.,Giovanetti,M.,Alcantara,L.C.J.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus
