accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution
PQ637706	PQ637706.1	AB4724	2023-08-11	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637707	PQ637707.1	AB4769	2023-09-02	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637708	PQ637708.1	AB4885	2023-10-18	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PQ637710	PQ637710.1	AB5111	2023-12-24	Asia	Thailand			Homo sapiens	2025-08-18		Khongwichit et al.	Khongwichit,S.,Chuchaona,W.,Poovorawan,Y.	Chulalongkorn University, Pediatrics, Faculty of Medicine
PV035814	PV035814.1	CHIKV_RUN_S2b93_2024	2024-09-XX	Europe	France	Réunion		Homo sapiens	2025-04-30		Frumence et al.	Frumence,E.,Jaffar-Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe
PV054365	PV054365.1	CHIKV-NIHPAK-07/2024	2024-05-09	Asia	Pakistan			Homo sapiens	2025-03-03		Umair et al.	Umair,M.,Hakim,R.,Jamal,Z.,Salman,M.	National Institute of Health, Department of Virology
PV066168	PV066168.1	SIMI 057	2019-12-18	Asia	Thailand			Homo sapiens	2025-03-22		Horthongkham et al.	Horthongkham,N.,Athipanyasilp,N.	Mahidol University, Microbiology
PV685536	PV685536.1	S5b10	2024-11-22	Europe	France	Réunion		Homo sapiens	2025-06-10		Frumence et al.	Frumence,E.,Jaffar-Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe
PV685620	PV685620.1	S12b41	2024-09-26	Europe	France	Réunion		Homo sapiens	2025-06-10		Frumence et al.	Frumence,E.,Jaffar-Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe
PV685622	PV685622.1	S12b65	2024-11-25	Europe	France	Réunion		Homo sapiens	2025-06-10		Frumence et al.	Frumence,E.,Jaffar-Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe
PV685629	PV685629.1	S17b13	2025-01-31	Europe	France	Réunion		Homo sapiens	2025-06-10		Frumence et al.	Frumence,E.,Jaffar-Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe
PV685686	PV685686.1	S4b3	2024-10-25	Europe	France	Réunion		Homo sapiens	2025-06-10		Frumence et al.	Frumence,E.,Jaffar-Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe
PV805110	PV805110.1	CHIKV01/SH/CHN/2025	2025-05-08	Asia	China			Homo sapiens	2025-06-30		Zhang et al.	Zhang,X.,Gu,Y.	Pudong Center for Disease Control and Prevention, Microbiology Laboratory
PV883239	PV883239.1	2056122005	2024-01-25	Asia	Indonesia	Tangerang	Banten	Homo sapiens	2025-07-14		Jaya et al.	Jaya,U.A.,Wulan,W.N.,Kosasih,H.,Lokida,D.	The Indonesia Research Partnership on Infectious Disease (INA-RESPOND)
PV883246	PV883246.1	2056122045	2024-04-16	Asia	Indonesia	Tangerang	Banten	Homo sapiens	2025-07-14		Jaya et al.	Jaya,U.A.,Wulan,W.N.,Kosasih,H.,Lokida,D.	The Indonesia Research Partnership on Infectious Disease (INA-RESPOND)
DQ489788	DQ489788.1	Prince of Wales Hospital	2006-03-24	Asia	Hong Kong				2006-04-22		Lee et al.	Lee,N.,Wong,C.K.,Lam,W.Y.,Wong,A.,Lim,W.,Lam,C.W.,Cockram,C.S.,Chan,P.K.,Tang,J.W.	The Chinese University of Hong Kong, Microbiology
EF193853	EF193853.1	D586/06	2006-03-XX	Africa	Mauritius			Homo sapiens	2007-01-24		Edwards et al.	Edwards,C.J.,Welch,S.R.,Chamberlain,J.,Hewson,R.,Tolley,H.,Cane,P.A.,Lloyd,G.	Health Protection Agency, Novel and Dangerous Pathogens
EU244646	EU244646.1	Madagascar 166/07	2007-01-XX	Africa	Madagascar			Homo sapiens	2008-11-01		Pistone et al.	Pistone,T.,Ezzedine,K.,Schuffenecker,I.,Receveur,M.C.,Malvy,D.,Murri,S.,Reynard,S.,Mollard,N.,Zeller,H.	Institut Pasteur, Centre National de Reference des Arbovirus
EU441883	EU441883.1	SG EHIss622 Y2008	2008-01-XX	Asia	Singapore			Homo sapiens	2008-02-19		Leo et al.	Leo,Y.S.,Chow,A.L.,Tan,L.K.,Lye,D.C.,Lin,L.,Ng,L.C.,Bucht,G.,Goh,V.,Yee,S.L.,James,L.	Environmental Health Institute, National Environment Agency
EU727161	EU727161.1	DEL/968/06	2006-10-09	Asia	India			Homo sapiens	2008-06-14		Chahar et al.	Chahar,H.S.,Bharaj,P.,Dar,L.,Guleria,R.,Kabra,S.K.,Broor,S.	All India Institute of Medical Sciences, Microbiology
EU862807	EU862807.1	KTM/RRII/07	2007-08-XX	Asia	India	Kerala		Homo sapiens	2008-08-02		Venkatachalam et al.	Venkatachalam,P.,Mohamed Sathik,M.B.,Mani,P.P.,Kumari,V.,Saha,T.,Jacob,J.	Rubber Research Institute of India, Advanced Centre for Molecular Biology and Biotechnology
FJ000064	FJ000064.1	IND-GJ51	2006-09-XX	Asia	India	Gujarat		Homo sapiens	2009-12-04		Cherian et al.	Cherian,S.S.,Walimbe,A.M.,Jadhav,S.M.,Gandhe,S.S.,Hundekar,S.L.,Mishra,A.C.,Arankalle,V.A.	National Institute of Virology, Hepatitis Division
FJ445428	FJ445428.2	LKRGCH1507	2007-05-XX	Asia	Sri Lanka			Homo sapiens	2009-08-04		Ng et al.	Ng,L.C.,Tan,L.K.,Tan,C.H.,Tan,S.S.,Hapuarachchi,H.C.,Pok,K.Y.,Lai,Y.L.,Lam-Phua,S.G.,Bucht,G.,Lin,R.T.,Leo,Y.S.,Tan,B.H.,Han,H.K.,Ooi,P.L.,James,L.,Khoo,S.P.,Bandara,K.B.,Sumanadasa,S.D.,Hapugoda,M.D.,Lee,K.S.,Ng,L.F.,Abeyewickreme,W.,Bandara,K.B.A.T.,Sumanadasa,S.D.M.,Lin,R.T.P.,Ng,L.F.P.	National Environment Agency, Environmental Health Institute
FJ445485	FJ445485.1	SGEHICHS03007	2007-01-XX	Asia	Singapore			Homo sapiens	2009-08-04		Ng et al.	Ng,L.C.,Tan,L.K.,Tan,C.H.,Tan,S.S.,Hapuarachchi,H.C.,Pok,K.Y.,Lai,Y.L.,Lam-Phua,S.G.,Bucht,G.,Lin,R.T.,Leo,Y.S.,Tan,B.H.,Han,H.K.,Ooi,P.L.,James,L.,Khoo,S.P.,Bandara,K.B.,Sumanadasa,S.D.,Hapugoda,M.D.,Lee,K.S.,Ng,L.F.,Abeyewickreme,W.	National Environment Agency, Environmental Health Institute
FJ445501	FJ445501.1	SGEHICHD122308	2008-08-XX	Asia	Singapore			Homo sapiens	2009-08-04		Ng et al.	Ng,L.C.,Tan,L.K.,Tan,C.H.,Tan,S.S.,Hapuarachchi,H.C.,Pok,K.Y.,Lai,Y.L.,Lam-Phua,S.G.,Bucht,G.,Lin,R.T.,Leo,Y.S.,Tan,B.H.,Han,H.K.,Ooi,P.L.,James,L.,Khoo,S.P.,Bandara,K.B.,Sumanadasa,S.D.,Hapugoda,M.D.,Lee,K.S.,Ng,L.F.,Abeyewickreme,W.	National Environment Agency, Environmental Health Institute
FJ445511	FJ445511.2	SGEHICHD13508	2008-01-XX	Asia	Singapore			Homo sapiens	2009-08-04		Ng et al.	Ng,L.C.,Tan,L.K.,Tan,C.H.,Tan,S.S.,Hapuarachchi,H.C.,Pok,K.Y.,Lai,Y.L.,Lam-Phua,S.G.,Bucht,G.,Lin,R.T.,Leo,Y.S.,Tan,B.H.,Han,H.K.,Ooi,P.L.,James,L.,Khoo,S.P.,Bandara,K.B.,Sumanadasa,S.D.,Hapugoda,M.D.,Lee,K.S.,Ng,L.F.,Abeyewickreme,W.,Bandara,K.B.A.T.,Sumanadasa,S.D.M.,Lin,R.T.P.,Ng,L.F.P.	National Environment Agency, Environmental Health Institute
FJ457636	FJ457636.1	CU17	2008-10-XX	Asia	Thailand			Homo sapiens	2009-06-09		Theamboonlers et al.	Theamboonlers,A.,Praianantathavorn,K.,Thongmee,C.,Vichaiwattana,P.,Wutthirattanakowit,N.,Poovorawan,Y.	Center of Excellence in Clinical Virology, Pediatrics
FJ513664	FJ513664.1	LK(EH)CH11208	2008-04-XX	Asia	Sri Lanka			Homo sapiens	2009-12-09		Hapuarachchi et al.	Hapuarachchi,H.C.,Bandara,K.B.,Sumanadasa,S.D.,Hapugoda,M.D.,Lai,Y.L.,Lee,K.S.,Tan,L.K.,Lin,R.T.,Ng,L.F.,Bucht,G.,Abeyewickreme,W.,Ng,L.C.,Bandara,K.B.A.T.,Sumanadasa,S.D.M.,Lin,R.T.P.,Ng,L.F.P.	National Environmental Agency, Environmental Health Institute
FN295488	FN295488.1	MY/08/2868	2008-08-XX	Asia	Malaysia	Perak		Homo sapiens	2009-09-17		Sam et al.	Sam,I.C.,Chan,Y.F.,Chan,S.Y.,Loong,S.K.,Chin,H.K.,Hooi,P.S.,Ganeswrie,R.,Abubakar,S.	Sam I.C., Dept of Medical Microbiology, University Malaya, Kuala Lumpur, 50603
FR687341	FR687341.1	MY/08/0978	2008-11-05	Asia	Malaysia	Muar	Johor	Homo sapiens	2016-03-04		Sam et al.	Sam,I.C.,Chan,Y.F.,Loong,S.K.,Chan,S.Y.,Khor,C.S.,Chiam,C.W.,Chang,R.,AbuBakar,S.	Sam I.C., Dept of Medical Microbiology, University Malaya, Kuala Lumpur, 50603
FR687348	FR687348.1	MY/09/3611	2009-04-03	Asia	Malaysia	Sungai Buloh	Selangor	Homo sapiens	2016-03-04		Sam et al.	Sam,I.C.,Chan,Y.F.,Loong,S.K.,Chan,S.Y.,Khor,C.S.,Chiam,C.W.,Chang,R.,AbuBakar,S.	Sam I.C., Dept of Medical Microbiology, University Malaya, Kuala Lumpur, 50603
FR846305	FR846305.1	2010-1909	2010-09-21	Europe	France			Homo sapiens	2011-08-10		Grandadam et al.	Grandadam,M.,Caro,V.,Plumet,S.,Thiberge,J.M.,Souares,Y.,Failloux,A.B.,Tolou,H.J.,Budelot,M.,Cosserat,D.,Leparc-Goffart,I.,Despres,P.	to the INSDC. Caro V., Genotyping of Pathogens and Public Health, Institut Pasteur, 28 rue du docteur Roux, Paris, 75015
FR846306	FR846306.1	Pt11201	2009-04-08	Europe	France			Homo sapiens	2011-08-10		Grandadam et al.	Grandadam,M.,Caro,V.,Plumet,S.,Thiberge,J.M.,Souares,Y.,Failloux,A.B.,Tolou,H.J.,Budelot,M.,Cosserat,D.,Leparc-Goffart,I.,Despres,P.	to the INSDC. Caro V., Genotyping of Pathogens and Public Health, Institut Pasteur, 28 rue du docteur Roux, Paris, 75015
GQ272375	GQ272375.1	IND08KL12	2008-08-XX	Asia	India			Homo sapiens	2010-01-27		Srikanth et al.	Srikanth,P.,Gopalsamy,S.,Seema Nayar,A.,Ramya,B.,Gracyfathima,S.,Matthew,T.,Sheriff,A.K.,Gunasekaran,P.,Karthikbabu,M.,Muthumani,K.	Sri Ramachandra Medical College & Research Institute, Sri Ramachandra University, Department of Microbiology
GU365858	GU365858.1	HPCK-0101	2009-03-16	Asia	India			Homo sapiens	2012-12-31		Kushekhar et al.	Kushekhar,B.V.,Ray,P.	All India Institute of Medical Sciences, Pediatrics
GU365861	GU365861.1	JPCK-0085	2009-10-23	Asia	India			Homo sapiens	2012-12-31		Kushekhar et al.	Kushekhar,B.V.,Ray,P.	All India Institute of Medical Sciences, Pediatrics
GU969242	GU969242.1	CHIKV-ET2010	2010-01-26	Asia	East Timor			Homo sapiens	2010-04-21		Pyke et al.	Pyke,A.T.	Public Health Virology, Queensland Health Forensic and Scientific Services
HE806461	HE806461.1	NC/2011-568	2011-02-28	Europe	France	New Caledonia		Homo sapiens	2012-12-06		Dupont-Rouzeyrol et al.	Dupont-Rouzeyrol,M.,Caro,V.,Guillaumot,L.,Vazeille,M.,D'Ortenzio,E.,Thiberge,J.M.,Baroux,N.,Gourinat,A.C.,Grandadam,M.,Failloux,A.B.	Caro V., Institut Pasteur, Genotyping of, Pathogens and Public Health, 28 rue du docteur Roux, Paris, 75015
HM045786	HM045786.1	IbH35	1964-07-07	Africa	Nigeria			Homo sapiens	2010-05-22		Volk et al.	Volk,S.M.,Chen,R.,Tsetsarkin,K.A.,Adams,A.P.,Garcia,T.I.,Sall,A.A.,Nasar,F.,Schuh,A.J.,Holmes,E.C.,Higgs,S.,Maharaj,P.D.,Brault,A.C.,Weaver,S.C.	University of Texas Medical Branch, Department of Pathology
HM045790	HM045790.1	PhH15483	1985-07-17	Asia	Philippines			Homo sapiens	2010-05-22		Volk et al.	Volk,S.M.,Chen,R.,Tsetsarkin,K.A.,Adams,A.P.,Garcia,T.I.,Sall,A.A.,Nasar,F.,Schuh,A.J.,Holmes,E.C.,Higgs,S.,Maharaj,P.D.,Brault,A.C.,Weaver,S.C.	University of Texas Medical Branch, Department of Pathology
HM045792	HM045792.1	Vereeniging	1956-04-XX	Africa	South Africa			Homo sapiens	2010-05-22		Volk et al.	Volk,S.M.,Chen,R.,Tsetsarkin,K.A.,Adams,A.P.,Garcia,T.I.,Sall,A.A.,Nasar,F.,Schuh,A.J.,Holmes,E.C.,Higgs,S.,Maharaj,P.D.,Brault,A.C.,Weaver,S.C.	University of Texas Medical Branch, Department of Pathology
HM045803	HM045803.1	I-634029	1963-11-06	Asia	India			Homo sapiens	2010-05-22		Volk et al.	Volk,S.M.,Chen,R.,Tsetsarkin,K.A.,Adams,A.P.,Garcia,T.I.,Sall,A.A.,Nasar,F.,Schuh,A.J.,Holmes,E.C.,Higgs,S.,Maharaj,P.D.,Brault,A.C.,Weaver,S.C.	University of Texas Medical Branch, Department of Pathology
HM045807	HM045807.1	IbAn4824	1965-04-13	Africa	Nigeria			Mus	2010-05-22		Volk et al.	Volk,S.M.,Chen,R.,Tsetsarkin,K.A.,Adams,A.P.,Garcia,T.I.,Sall,A.A.,Nasar,F.,Schuh,A.J.,Holmes,E.C.,Higgs,S.,Maharaj,P.D.,Brault,A.C.,Weaver,S.C.	University of Texas Medical Branch, Department of Pathology
HM045813	HM045813.1	Gibbs 63-263	1963-11-06	Asia	India			Homo sapiens	2010-05-22		Volk et al.	Volk,S.M.,Chen,R.,Tsetsarkin,K.A.,Adams,A.P.,Garcia,T.I.,Sall,A.A.,Nasar,F.,Schuh,A.J.,Holmes,E.C.,Higgs,S.,Maharaj,P.D.,Brault,A.C.,Weaver,S.C.	University of Texas Medical Branch, Department of Pathology
HM045815	HM045815.1	ArD 30237	1979-02-XX	Africa	Senegal			Aedes luteocephalus	2010-05-22		Volk et al.	Volk,S.M.,Chen,R.,Tsetsarkin,K.A.,Adams,A.P.,Garcia,T.I.,Sall,A.A.,Nasar,F.,Schuh,A.J.,Holmes,E.C.,Higgs,S.,Maharaj,P.D.,Brault,A.C.,Weaver,S.C.	University of Texas Medical Branch, Department of Pathology
HM045817	HM045817.1	HD 180760	2005-11-XX	Africa	Senegal			Homo sapiens	2010-05-22		Volk et al.	Volk,S.M.,Chen,R.,Tsetsarkin,K.A.,Adams,A.P.,Garcia,T.I.,Sall,A.A.,Nasar,F.,Schuh,A.J.,Holmes,E.C.,Higgs,S.,Maharaj,P.D.,Brault,A.C.,Weaver,S.C.	University of Texas Medical Branch, Department of Pathology
HM236459	HM236459.1	JJ002	2009-08-XX	Asia	Malaysia			Homo sapiens	2010-09-22		Yusof et al.	Yusof,M.A.,Lau,S.K.,Nur Ismawati,I.,Amal Nasir,M.,Faudzi,Y.,Wan Mansur,H.,Hani,M.H.,Zainah,S.	Institute For Medical Research, Virology Unit
HM236467	HM236467.1	PMM012	2009-08-XX	Asia	Malaysia			Homo sapiens	2010-09-22		Yusof et al.	Yusof,M.A.,Lau,S.K.,Nur Ismawati,I.,Amal Nasir,M.,Faudzi,Y.,Wan Mansur,H.,Hani,M.H.,Zainah,S.	Institute For Medical Research, Virology Unit
JN578251	JN578251.1	CHIKV JG-O7	2006-09-27	Asia	India	Port Blair	Andaman Islands	Homo sapiens	2012-01-03		Nagarajan et al.	Nagarajan,M.,Itta,K.,Sundaram,S.G.,Paluru,V.	Regional Medical Research Centre, Indian Council of Medical Research-Department of Health Research
JN974179	JN974179.1	NIV-112163	2011-09-22	Asia	India	Tata Main Hospital and Niv Pune		Homo sapiens	2012-11-28		Gurav et al.	Gurav,Y.K.,Gopalkrishna,V.,Shah,P.S.,Patil,D.R.,Mishra,M.,Paingankar,M.S.,Singh,A.,Sathe,P.S.,Mishra,A.C.	National Institute of Virology, Outbreak Response Group
JN981130	JN981130.1	IND-07-WB2	2007-10-XX	Asia	India	West Bengal		Homo sapiens	2013-07-31		Taraphdar et al.	Taraphdar,D.,Sarkar,A.,Basak,S.,Chatterjee,S.	ICMR Virus Unit, Kolkata, Arbovirology
JQ012937	JQ012937.1	5/RMRC/Jagatsinghpur	2010-03-XX	Asia	India			Homo sapiens	2012-03-19		Das et al.	Das,B.,Sahu,A.,Das,M.,Patra,A.,Dwibedi,B.,Kar,S.K.,Hazra,R.K.	Regional Medical Research Center, Bhubaneswar, Medical Entomology
JQ012940	JQ012940.1	8/RMRC/Kendrapara	2010-04-XX	Asia	India			Homo sapiens	2012-03-19		Das et al.	Das,B.,Sahu,A.,Das,M.,Patra,A.,Dwibedi,B.,Kar,S.K.,Hazra,R.K.	Regional Medical Research Center, Bhubaneswar, Medical Entomology
JQ012941	JQ012941.1	9/RMRC/Kendrapara	2010-05-XX	Asia	India			Homo sapiens	2012-03-19		Das et al.	Das,B.,Sahu,A.,Das,M.,Patra,A.,Dwibedi,B.,Kar,S.K.,Hazra,R.K.	Regional Medical Research Center, Bhubaneswar, Medical Entomology
JQ013703	JQ013703.1	APCK0621	2010-11-10	Asia	India			Homo sapiens	2013-12-31		Ray et al.	Ray,P.,Raghavendhar,B.S.	AIIMS, Pediatrics
JQ861253	JQ861253.1	V1024306_KH11_PVH	2011-08-16	Asia	Cambodia			Homo sapiens	2012-06-18		Duong et al.	Duong,V.,Andries,A.C.,Ngan,C.,Sok,T.,Richner,B.,Asgari-Jirhandeh,N.,Bjorge,S.,Huy,R.,Ly,S.,Laurent,D.,Hok,B.,Roces,M.C.,Ong,S.,Char,M.C.,Deubel,V.,Tarantola,A.,Buchy,P.	Institut Pasteur in Cambodia, Virology
JQ861258	JQ861258.1	V1024314_KH11_PVH	2011-08-16	Asia	Cambodia			Homo sapiens	2012-06-18		Duong et al.	Duong,V.,Andries,A.C.,Ngan,C.,Sok,T.,Richner,B.,Asgari-Jirhandeh,N.,Bjorge,S.,Huy,R.,Ly,S.,Laurent,D.,Hok,B.,Roces,M.C.,Ong,S.,Char,M.C.,Deubel,V.,Tarantola,A.,Buchy,P.	Institut Pasteur in Cambodia, Virology
JQ861259	JQ861259.1	V0603308_KH11_BTB	2011-05-26	Asia	Cambodia			Homo sapiens	2012-06-18		Duong et al.	Duong,V.,Andries,A.C.,Ngan,C.,Sok,T.,Richner,B.,Asgari-Jirhandeh,N.,Bjorge,S.,Huy,R.,Ly,S.,Laurent,D.,Hok,B.,Roces,M.C.,Ong,S.,Char,M.C.,Deubel,V.,Tarantola,A.,Buchy,P.	Institut Pasteur in Cambodia, Virology
JQ861260	JQ861260.1	V0603310_KH11_BTB	2011-05-28	Asia	Cambodia			Homo sapiens	2012-06-18		Duong et al.	Duong,V.,Andries,A.C.,Ngan,C.,Sok,T.,Richner,B.,Asgari-Jirhandeh,N.,Bjorge,S.,Huy,R.,Ly,S.,Laurent,D.,Hok,B.,Roces,M.C.,Ong,S.,Char,M.C.,Deubel,V.,Tarantola,A.,Buchy,P.	Institut Pasteur in Cambodia, Virology
JX142136	JX142136.1	JX142136	2007-08-03	Europe	Ireland			Homo sapiens	2012-08-25		McCartin et al.	McCartin,A.M.,Hall,N.,Duffy,M.,Dunford,L.,Conway,A.,Connell,J.,Carr,M.J.,Hall,W.W.	University College Dublin, National Virus Reference Laboratory
JX276646	JX276646.1	IND-07-WBST2	2007-10-XX	Asia	India	West Bengal		Homo sapiens	2013-07-31		Taraphdar et al.	Taraphdar,D.,Chatterjee,S.,Sarkar,A.	ICMR Virus Unit, Kolkata, Arbovirology
JX437463	JX437463.1	4chik08	2008-10-23	Asia	India			Homo sapiens	2012-10-06		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology
JX437488	JX437488.1	6chik09	2009-01-30	Asia	India			Homo sapiens	2012-10-06		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology
JX437510	JX437510.1	1chik10	2010-09-05	Asia	India			Homo sapiens	2012-10-06		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology
JX437554	JX437554.1	45chik10	2010-07-06	Asia	India			Homo sapiens	2012-10-06		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology
JX437612	JX437612.1	39chik11	2011-07-08	Asia	India			Homo sapiens	2012-10-06		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology
JX839770	JX839770.1	12chik08	2008-08-04	Asia	India			Homo sapiens	2012-11-25		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology
JX839774	JX839774.1	23chik08	2008-12-04	Asia	India			Homo sapiens	2012-11-25		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology
JX839784	JX839784.1	27chik09	2009-12-08	Asia	India			Homo sapiens	2012-11-25		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology
JX839801	JX839801.1	42chik10	2010-10-09	Asia	India			Homo sapiens	2012-11-25		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology
KC524770	KC524770.1	VN033	2012-09-XX	Oceania	Papua New Guinea	Vanimo	Sandaun Province		2013-09-28		Horwood et al.	Horwood,P.F.,Reimer,L.J.,Dagina,R.,Susapu,M.,Bande,G.,Katusele,M.,Koimbu,G.,Jimmy,S.,Ropa,B.,Siba,P.M.,Pavlin,B.I.	Papua New Guinea Institute of Medical Research, Environmental and Emerging Diseases Unit
KC614648	KC614648.1	Yem-11	2011-01-25	Asia	Yemen	Al Hodayda	Al Khawkha District	Aedes aegypti	2014-12-16		Fahmy et al.	Fahmy,N.T.,Klena,J.D.,Mohamed,A.S.,Zayed,A.,Villinski,J.T.	U.S Naval Medical Research Unit No. 3 (NAMRU#3), Vector Biology Research Program
KC810970	KC810970.1	KNIH_2009_77	2009-06-09	Asia	South Korea			Homo sapiens	2013-09-14		Cha et al.	Cha,G.W.,Cho,J.E.,Lee,E.J.,Ju,Y.R.,Han,M.G.,Park,C.,Jeong,Y.E.	Korea National Institute of Health, Division of Arboviruses
KC999036	KC999036.1	STM30i	2011-12-22	Asia	India	West Bengal		Homo sapiens	2013-08-25		Dutta et al.	Dutta,S.K.,Tripathi,A.	School of Tropical Medicine, Department of Biochemistry and Medical Biotechnology
KF151175	KF151175.1	Myanmar/D136/2009	2009-12-11	Asia	Myanmar			Homo sapiens	2015-02-20		Ghosh et al.	Ghosh,S.,Aung,M.S.,Aung,T.S.,Win,N.,Kobayashi,N.	Sapporo Medical University School of Medicine, Department of Hygiene
KF318729	KF318729.1	chik-sy	2012-07-06	Asia	China	Zhejiang Province		Homo sapiens	2013-09-16		Sun et al.	Sun,Y.,Yan,J.,Mao,H.,Zhang,L.,Lyu,Q.,Wu,Z.,Zheng,W.,Feng,C.,Zhang,Y.	Zhejiang Provincial Center for Disease Control and Prevention, Department of Virus
KF661403	KF661403.1	ChikLukNN1-2010	2010-08-05	Asia	India			Aedes albopictus	2013-12-11		Srivastava et al.	Srivastava,N.,Shukla,D.,Kakkar,K.,Pandey,A.,Pandey,S.,Dhole,T.	Sanjay Gandhi Post Graduate Institute of Medical Sciences, Raibarelli Road, Lucknow, Microbiology
KF661407	KF661407.1	ChikLukNN5-2011	2011-06-05	Asia	India			Aedes albopictus	2013-12-11		Srivastava et al.	Srivastava,N.,Shukla,D.,Kakkar,K.,Pandey,A.,Pandey,S.,Dhole,T.	Sanjay Gandhi Post Graduate Institute of Medical Sciences, Raibarelli Road, Lucknow, Microbiology
KF872195	KF872195.1	LEIV-CHIKV/Moscow/1/2013	2013-09-24	Europe	Russia			Homo sapiens	2014-02-11		Shchelkanov et al.	Shchelkanov,M.Y.,Lvov,D.K.,Alkhovsky,S.V.,Shchetinin,A.M.	The D.I. Ivanovsky Institute of Virology, Lab. of Biotechnology
KF925289	KF925289.1	ArB10238	1978-08-24	Africa	Central African Republic	Bozo		Aedes opok	2014-03-03		Desdouits et al.	Desdouits,M.,Kamgang,B.,Berthet,N.,Tricou,V.,Ngoagouni,C.,Gessain,A.,Manuguerra,J.C.,Nakoune,E.,Kazanji,M.	Institut Pasteur de Bangui, Virlogy Department
KF925306	KF925306.1	ArB18945	1981-07-21	Africa	Central African Republic	Bozo		Aedes opok	2014-03-03		Desdouits et al.	Desdouits,M.,Kamgang,B.,Berthet,N.,Tricou,V.,Ngoagouni,C.,Gessain,A.,Manuguerra,J.C.,Nakoune,E.,Kazanji,M.	Institut Pasteur de Bangui, Virlogy Department
KF925310	KF925310.1	HB82P18	1982-02-16	Africa	Central African Republic	Bangui		Homo sapiens	2014-03-03		Desdouits et al.	Desdouits,M.,Kamgang,B.,Berthet,N.,Tricou,V.,Ngoagouni,C.,Gessain,A.,Manuguerra,J.C.,Nakoune,E.,Kazanji,M.	Institut Pasteur de Bangui, Virlogy Department
KF925313	KF925313.1	HB84P93	1984-04-15	Africa	Central African Republic	Bouar		Homo sapiens	2014-03-03		Desdouits et al.	Desdouits,M.,Kamgang,B.,Berthet,N.,Tricou,V.,Ngoagouni,C.,Gessain,A.,Manuguerra,J.C.,Nakoune,E.,Kazanji,M.	Institut Pasteur de Bangui, Virlogy Department
KJ508820	KJ508820.1	13V-2713_CHIK	2013-05-24	Africa	Cameroon			Homo sapiens	2016-01-12		Demanou et al.	Demanou,M.,Sadeuh-Mba,S.A.,Vanhecke,C.,Ndikweti,R.,Kouna Tsala,I.,Inais Nsizoa,M.,Njouom,R.,Sadeuh-Mba,S.	Centre Pasteur du Cameroun, Virology
KJ558348	KJ558348.1	IND12TNCBE01	2012-11-22	Asia	India	Kovai		Homo sapiens	2014-05-25		Saravanamurali et al.	Saravanamurali,K.,Sathishkumar,R.,Gunasekaran,P.,Kaveri,K.,Prabhakaran,M.,Varghese,I.,Raja,A.,Senthilkumar,V.	Bharathiar University & King Institute of Preventive Medicine and Research, Department of Biotechnology & Department of Virology
